year	CTY_CODE	CTYNAME	BJAN	BFEB	BMAR	BAPR	BMAY	BJUN	BJUL	BAUG	BSEP	BOCT	BNOV	BDEC	BQ1	BQ2	BQ3	BQ4	IJAN	IFEB	IMAR	IAPR	IMAY	IJUN	IJUL	IAUG	ISEP	IOCT	INOV	IDEC	IQ1	IQ2	IQ3	IQ4	EJAN	EFEB	EMAR	EAPR	EMAY	EJUN	EJUL	EAUG	ESEP	EOCT	ENOV	EDEC	EQ1	EQ2	EQ3	EQ4
2009	0008	Newly Industrialized Countries	-1,406	-557	-792	-193	350	340	782	666	1,074	1,783	761	718	-2,754	497	2,521	3,262	7,681	6,951	7,194	6,844	6,825	6,760	6,855	7,220	7,386	7,388	7,616	8,134	21,826	20,430	21,460	23,137	6,275	6,394	6,403	6,652	7,175	7,100	7,637	7,885	8,460	9,171	8,376	8,852	19,072	20,927	23,982	26,399
2009	0001	OPEC	-4,005	-2,705	-2,995	-3,423	-4,093	-5,203	-5,900	-5,788	-6,982	-6,413	-7,183	-7,055	-9,705	-12,719	-18,670	-20,651	8,477	7,483	7,531	7,601	7,918	9,043	9,649	9,509	11,179	10,534	11,352	11,327	23,490	24,562	30,337	33,212	4,472	4,778	4,536	4,178	3,825	3,840	3,749	3,721	4,197	4,120	4,169	4,273	13,786	11,843	11,667	12,561
2009	0009	South/Central America	456	488	185	273	208	-85	-482	260	-159	243	-43	106	1,128	396	-381	306	8,619	8,423	8,295	7,784	8,354	8,960	9,178	8,827	9,677	9,540	10,094	10,349	25,337	25,098	27,681	29,983	9,075	8,911	8,480	8,057	8,562	8,875	8,696	9,087	9,517	9,783	10,051	10,456	26,466	25,494	27,300	30,289
2010	3510	Brazil	563	964	1,069	863	1,016	982	1,041	1,033	1,228	764	1,094	843	2,595	2,861	3,302	2,701	1,964	1,764	1,977	2,033	1,945	2,013	2,146	2,062	1,647	2,165	1,981	2,261	5,705	5,992	5,855	6,406	2,528	2,728	3,045	2,896	2,962	2,995	3,187	3,095	2,875	2,929	3,075	3,104	8,301	8,853	9,157	9,107
2010	1220	Canada	-3,128	-2,830	-2,536	-2,653	-2,885	-2,644	-1,625	-2,318	-1,468	-1,543	-2,139	-2,610	-8,494	-8,183	-5,411	-6,292	22,390	22,718	22,443	22,911	23,642	23,366	22,913	23,411	22,934	23,322	23,352	24,236	67,551	69,919	69,257	70,910	19,262	19,888	19,907	20,258	20,756	20,722	21,288	21,092	21,466	21,779	21,213	21,626	59,056	61,736	63,846	64,618
2010	5700	China	-20,297	-20,700	-21,745	-21,179	-23,014	-24,830	-23,432	-24,624	-24,063	-23,011	-23,239	-22,909	-62,741	-69,023	-72,119	-69,158	27,758	27,869	28,639	28,210	30,070	31,916	31,129	32,138	31,716	31,552	31,972	31,985	84,266	90,196	94,982	95,509	7,461	7,169	6,894	7,031	7,056	7,086	7,697	7,514	7,652	8,542	8,733	9,076	21,525	21,173	22,863	26,350
2010	4279	France	-872	-961	-1,232	-1,086	-1,014	-977	-918	-1,048	-1,241	-736	-763	-538	-3,065	-3,077	-3,206	-2,037	2,989	3,038	3,416	3,209	3,129	3,063	3,082	3,197	3,570	3,096	3,211	3,355	9,443	9,401	9,849	9,662	2,117	2,077	2,184	2,123	2,115	2,086	2,164	2,149	2,329	2,360	2,448	2,817	6,378	6,324	6,643	7,625
2010	4280	Germany	-1,961	-2,832	-2,483	-2,715	-3,311	-2,913	-3,076	-3,175	-2,951	-3,402	-2,769	-2,707	-7,277	-8,939	-9,201	-8,878	6,007	6,420	6,407	6,523	7,116	6,883	7,057	7,261	7,100	7,383	7,401	6,893	18,833	20,523	21,418	21,676	4,046	3,587	3,923	3,808	3,805	3,970	3,981	4,086	4,150	3,980	4,632	4,186	11,556	11,583	12,217	12,798
2010	5330	India	-686	-797	-788	-711	-901	-952	-898	-966	-867	-966	-861	-892	-2,271	-2,564	-2,731	-2,718	2,190	2,298	2,286	2,472	2,596	2,521	2,501	2,577	2,316	2,738	2,575	2,463	6,774	7,589	7,394	7,775	1,504	1,501	1,498	1,761	1,695	1,569	1,603	1,611	1,449	1,772	1,714	1,571	4,503	5,025	4,663	5,058
2010	4759	Italy	-1,144	-1,134	-1,207	-1,279	-1,094	-1,158	-1,142	-1,165	-1,139	-1,399	-1,213	-1,217	-3,485	-3,531	-3,447	-3,830	2,257	2,256	2,310	2,298	2,368	2,302	2,333	2,367	2,377	2,656	2,471	2,519	6,822	6,968	7,078	7,646	1,112	1,122	1,102	1,018	1,274	1,144	1,191	1,202	1,238	1,257	1,257	1,302	3,337	3,437	3,631	3,816
2010	5880	Japan	-4,146	-4,411	-4,832	-4,515	-4,563	-5,176	-5,063	-5,369	-5,476	-5,390	-5,330	-5,809	-13,389	-14,255	-15,908	-16,529	9,195	9,217	9,602	9,315	9,574	10,153	10,197	10,428	10,401	10,719	10,673	11,078	28,015	29,041	31,027	32,470	5,049	4,806	4,771	4,800	5,010	4,977	5,135	5,058	4,926	5,329	5,343	5,269	14,626	14,787	15,119	15,941
2010	5800	Korea, South	-373	-504	-326	-624	-687	-948	-783	-1,255	-1,100	-1,231	-1,242	-982	-1,203	-2,260	-3,137	-3,455	3,349	3,578	3,676	3,781	3,978	4,178	4,155	4,401	4,260	4,541	4,626	4,352	10,602	11,938	12,816	13,519	2,977	3,073	3,350	3,157	3,291	3,230	3,372	3,146	3,161	3,309	3,384	3,370	9,400	9,678	9,679	10,064
2010	2010	Mexico	-5,444	-5,187	-5,260	-5,284	-5,708	-5,613	-5,398	-5,901	-5,743	-6,140	-5,330	-5,312	-15,891	-16,605	-17,043	-16,782	17,791	17,908	18,507	18,644	19,255	19,289	18,832	19,635	19,567	20,293	19,850	20,416	54,206	57,187	58,034	60,559	12,347	12,721	13,247	13,360	13,547	13,676	13,434	13,734	13,823	14,152	14,520	15,104	38,315	40,582	40,991	43,776
2010	5170	Saudi Arabia	-1,326	-1,232	-1,893	-1,972	-1,582	-1,744	-1,364	-1,503	-1,619	-1,665	-2,036	-1,967	-4,452	-5,299	-4,487	-5,669	2,229	2,450	2,749	2,923	2,518	2,763	2,250	2,557	2,523	2,601	2,915	2,935	7,428	8,204	7,330	8,451	903	1,218	855	951	936	1,019	885	1,053	904	935	878	968	2,976	2,906	2,843	2,782
2010	4120	United Kingdom	215	-954	26	31	-15	-419	-79	-267	-108	18	40	118	-713	-402	-455	175	3,812	4,868	3,989	3,837	3,813	4,385	4,213	4,398	4,114	4,083	4,065	4,228	12,669	12,035	12,726	12,376	4,027	3,914	4,014	3,868	3,798	3,966	4,134	4,131	4,006	4,101	4,105	4,346	11,956	11,632	12,271	12,551
2010	0020	All other countries	-10,034	-11,119	-10,595	-10,188	-9,654	-10,935	-9,987	-10,494	-9,335	-8,851	-7,930	-8,262	-31,749	-30,777	-29,816	-25,042	46,478	47,590	47,979	47,820	48,221	49,029	49,040	50,500	49,175	49,968	50,454	51,570	142,046	145,071	148,716	151,992	36,443	36,471	37,384	37,632	38,567	38,094	39,053	40,006	39,841	41,117	42,525	43,308	110,298	114,294	118,900	126,950
2010	0017	CAFTA-DR	-32	139	52	129	31	-24	-31	-108	23	42	6	-8	159	136	-117	40	1,872	1,819	1,963	1,925	2,032	1,981	1,948	2,072	2,076	2,097	2,095	2,159	5,653	5,938	6,097	6,350	1,840	1,958	2,014	2,054	2,062	1,957	1,917	1,964	2,099	2,138	2,101	2,151	5,812	6,074	5,980	6,390
2010	0003	European Union	-5,375	-6,249	-6,472	-5,126	-6,704	-6,966	-7,820	-7,467	-7,299	-7,489	-6,196	-6,510	-18,096	-18,796	-22,586	-20,195	24,680	25,051	25,503	23,992	26,131	26,454	27,527	27,837	27,833	28,402	27,344	28,510	75,235	76,577	83,197	84,256	19,305	18,802	19,031	18,866	19,427	19,488	19,707	20,370	20,534	20,913	21,149	21,999	57,138	57,781	60,611	64,061
2010	0008	Newly Industrialized Countries	1,607	1,717	1,987	1,334	1,054	666	1,411	655	1,044	855	495	1,178	5,311	3,055	3,110	2,528	7,654	7,748	7,990	8,375	8,763	9,099	8,909	9,359	9,361	9,520	10,001	9,666	23,392	26,237	27,629	29,187	9,261	9,465	9,977	9,709	9,818	9,765	10,320	10,014	10,404	10,376	10,496	10,844	28,703	29,292	30,739	31,716
2010	0001	OPEC	-7,623	-7,901	-9,375	-8,927	-7,762	-7,918	-7,033	-7,757	-8,499	-6,289	-7,550	-9,032	-24,899	-24,607	-23,289	-22,871	11,827	12,701	13,608	13,527	12,548	12,550	11,686	12,379	12,809	10,769	12,007	13,483	38,135	38,624	36,875	36,259	4,204	4,800	4,232	4,600	4,786	4,631	4,653	4,622	4,310	4,479	4,456	4,452	13,236	14,017	13,585	13,387
2010	0009	South/Central America	-229	41	910	652	1,065	651	849	643	965	992	792	-178	721	2,368	2,457	1,605	10,374	10,864	10,699	10,755	10,634	10,692	10,690	11,098	10,707	11,368	11,589	11,955	31,937	32,081	32,495	34,913	10,145	10,905	11,609	11,407	11,699	11,343	11,539	11,741	11,672	12,360	12,381	11,777	32,658	34,449	34,952	36,518
2011	3510	Brazil	1,420	901	1,416	1,033	756	984	852	1,304	1,155	897	392	171	3,737	2,773	3,312	1,460	2,232	2,402	2,083	2,560	2,923	2,570	2,663	2,261	2,777	2,712	3,227	3,327	6,717	8,053	7,701	9,265	3,653	3,303	3,499	3,593	3,678	3,554	3,516	3,565	3,932	3,609	3,619	3,498	10,454	10,826	11,013	10,726
2011	1220	Canada	-2,420	-2,830	-3,046	-1,971	-3,109	-2,976	-3,327	-2,387	-3,499	-2,474	-3,290	-2,705	-8,296	-8,055	-9,213	-8,468	25,426	24,749	26,014	25,485	26,355	25,530	27,833	26,592	27,028	26,592	26,669	27,051	76,188	77,370	81,454	80,312	23,005	21,919	22,967	23,514	23,246	22,554	24,506	24,206	23,529	24,119	23,379	24,346	67,892	69,315	72,241	71,844
2011	5700	China	-23,788	-25,083	-23,250	-23,485	-24,788	-24,873	-24,853	-24,705	-24,228	-25,538	-25,046	-25,613	-72,120	-73,146	-73,787	-76,197	32,425	33,802	32,159	32,010	33,039	33,167	33,420	33,500	33,168	34,265	34,094	34,322	98,386	98,217	100,088	102,681	8,637	8,720	8,909	8,525	8,251	8,294	8,567	8,795	8,939	8,727	9,048	8,709	26,266	25,071	26,301	26,484
2011	4279	France	-900	-937	-986	-734	-1,294	-890	-922	-850	-839	-1,499	-1,143	-1,197	-2,823	-2,919	-2,611	-3,839	3,249	3,270	3,267	3,353	3,562	3,165	3,166	3,232	3,203	3,730	3,417	3,435	9,786	10,081	9,600	10,582	2,349	2,334	2,281	2,619	2,268	2,276	2,243	2,381	2,364	2,231	2,274	2,238	6,963	7,162	6,989	6,742
2011	4280	Germany	-4,348	-3,877	-3,995	-3,834	-3,871	-3,903	-4,137	-4,148	-4,398	-4,075	-4,268	-4,535	-12,220	-11,608	-12,684	-12,878	8,370	7,848	8,049	7,999	8,000	8,230	7,939	8,372	8,467	8,335	8,403	8,673	24,267	24,229	24,777	25,411	4,022	3,971	4,054	4,164	4,129	4,327	3,801	4,223	4,069	4,260	4,135	4,138	12,047	12,621	12,093	12,533
2011	5330	India	-1,035	-882	-1,142	-1,245	-1,297	-1,190	-1,392	-1,400	-1,332	-1,475	-948	-1,273	-3,059	-3,733	-4,124	-3,696	2,678	2,627	2,943	3,085	3,186	3,226	3,046	3,037	3,016	3,149	3,014	3,149	8,248	9,497	9,098	9,312	1,643	1,745	1,801	1,840	1,888	2,035	1,653	1,637	1,683	1,673	2,066	1,877	5,189	5,764	4,974	5,616
2011	4759	Italy	-1,424	-1,294	-1,375	-1,483	-1,701	-1,513	-1,485	-1,450	-1,566	-1,443	-1,509	-1,693	-4,093	-4,697	-4,502	-4,645	2,703	2,612	2,748	2,852	3,035	2,861	2,799	2,792	2,848	2,799	2,906	3,019	8,063	8,749	8,438	8,724	1,279	1,318	1,373	1,369	1,334	1,348	1,314	1,341	1,282	1,356	1,397	1,326	3,970	4,052	3,937	4,079
2011	5880	Japan	-5,546	-5,595	-5,271	-3,402	-3,374	-4,064	-5,576	-5,769	-5,914	-5,796	-6,024	-6,797	-16,411	-10,840	-17,259	-18,618	10,839	11,118	10,871	8,822	8,933	9,489	10,958	11,151	11,320	11,819	11,606	12,003	32,828	27,244	33,429	35,427	5,293	5,524	5,600	5,420	5,559	5,425	5,382	5,383	5,406	6,023	5,581	5,205	16,417	16,403	16,171	16,809
2011	5800	Korea, South	-984	-1,307	-1,078	-992	-899	-1,364	-1,302	-643	-1,280	-1,323	-951	-1,077	-3,368	-3,255	-3,225	-3,351	4,490	4,453	4,598	4,853	4,780	4,855	4,928	4,428	4,849	4,793	4,772	4,863	13,541	14,487	14,205	14,428	3,507	3,146	3,520	3,861	3,881	3,490	3,626	3,785	3,569	3,471	3,820	3,785	10,173	11,232	10,980	11,077
2011	2010	Mexico	-5,715	-5,591	-5,255	-5,282	-5,474	-5,321	-5,404	-5,259	-5,057	-5,297	-5,277	-5,652	-16,561	-16,077	-15,720	-16,226	21,581	20,638	21,320	21,784	22,109	21,838	22,193	21,989	21,962	22,043	22,425	22,990	63,540	65,732	66,144	67,458	15,866	15,047	16,065	16,502	16,635	16,517	16,789	16,730	16,905	16,746	17,148	17,337	46,979	49,654	50,424	51,232
2011	5170	Saudi Arabia	-1,745	-3,152	-2,672	-1,962	-2,303	-3,112	-2,802	-2,981	-3,620	-2,292	-2,951	-3,961	-7,569	-7,377	-9,402	-9,204	2,754	4,090	3,849	3,120	3,545	4,155	3,977	4,100	4,844	3,565	4,267	5,208	10,694	10,820	12,922	13,041	1,009	938	1,177	1,158	1,242	1,043	1,176	1,119	1,225	1,273	1,317	1,247	3,124	3,443	3,520	3,836
2011	4120	United Kingdom	68	-355	309	574	135	759	454	753	1,210	36	383	444	22	1,468	2,417	863	4,280	3,926	4,329	4,230	4,672	4,099	4,260	4,115	4,119	4,300	4,294	4,638	12,536	13,001	12,494	13,232	4,349	3,571	4,638	4,804	4,807	4,858	4,714	4,868	5,329	4,337	4,676	5,082	12,558	14,469	14,911	14,095
2011	0020	All other countries	-12,783	-11,858	-12,678	-14,524	-14,993	-14,475	-11,279	-12,088	-7,679	-10,555	-10,587	-10,119	-37,320	-43,993	-31,047	-31,261	57,534	57,143	58,134	61,579	61,145	60,690	59,263	59,890	56,314	58,360	57,647	57,758	172,811	183,414	175,467	173,766	44,751	45,284	45,456	47,055	46,152	46,215	47,984	47,801	48,635	47,805	47,060	47,640	135,491	139,422	144,420	142,505
2011	0017	CAFTA-DR	187	34	235	-71	305	106	290	209	28	-10	130	113	456	340	527	233	2,281	2,271	2,237	2,589	2,334	2,432	2,448	2,361	2,390	2,482	2,426	2,365	6,790	7,355	7,199	7,273	2,468	2,305	2,472	2,518	2,639	2,538	2,738	2,570	2,418	2,472	2,556	2,479	7,246	7,695	7,726	7,507
2011	0003	European Union	-8,280	-8,095	-7,952	-8,031	-8,149	-8,622	-7,432	-7,658	-7,390	-8,007	-9,083	-10,695	-24,327	-24,803	-22,480	-27,786	29,817	29,103	30,192	31,046	30,905	31,246	29,971	30,719	30,620	30,793	30,971	33,081	89,112	93,197	91,310	94,845	21,537	21,008	22,240	23,015	22,756	22,623	22,539	23,060	23,230	22,786	21,888	22,386	64,785	68,394	68,830	67,059
2011	0008	Newly Industrialized Countries	1,095	625	1,441	1,605	588	525	748	1,399	2,903	1,440	1,992	1,121	3,161	2,719	5,050	4,553	9,890	10,091	9,631	10,432	10,711	10,460	10,531	10,095	9,824	10,027	9,839	10,061	29,612	31,603	30,451	29,927	10,985	10,716	11,071	12,037	11,299	10,986	11,279	11,494	12,728	11,466	11,831	11,183	32,772	34,322	35,501	34,480
2011	0001	OPEC	-10,837	-11,292	-10,864	-8,916	-10,635	-12,569	-11,042	-11,355	-10,016	-8,908	-9,777	-10,451	-32,993	-32,120	-32,412	-29,136	15,609	15,961	15,715	14,387	16,286	17,914	16,671	16,729	15,905	14,738	15,232	16,322	47,285	48,587	49,306	46,292	4,772	4,669	4,850	5,471	5,650	5,346	5,630	5,375	5,889	5,830	5,455	5,871	14,292	16,467	16,893	17,157
2011	0009	South/Central America	-750	-160	-190	-800	-988	-1,011	650	59	-339	-545	-123	-1,081	-1,101	-2,799	370	-1,749	13,940	13,198	14,052	14,915	15,109	14,716	13,963	14,438	14,914	15,127	14,806	15,113	41,189	44,740	43,316	45,046	13,189	13,037	13,862	14,115	14,121	13,705	14,614	14,497	14,575	14,582	14,683	14,032	40,089	41,941	43,686	43,297
2012	3510	Brazil	481	616	221	802	1,189	812	950	732	1,342	1,442	1,494	1,567	1,318	2,803	3,024	4,503	3,024	3,000	3,535	3,009	2,309	2,721	2,388	2,838	2,436	2,334	2,381	2,149	9,559	8,039	7,662	6,864	3,505	3,616	3,755	3,811	3,497	3,534	3,339	3,570	3,778	3,776	3,874	3,717	10,877	10,842	10,686	11,367
2012	1220	Canada	-2,761	-2,684	-3,088	-3,183	-2,275	-2,030	-2,393	-2,549	-1,741	-2,533	-3,765	-2,610	-8,533	-7,489	-6,683	-8,907	27,053	27,063	27,387	27,440	26,505	26,654	26,720	26,570	26,712	26,645	28,369	27,145	81,503	80,599	80,002	82,159	24,292	24,379	24,299	24,257	24,230	24,624	24,327	24,021	24,971	24,112	24,605	24,535	72,969	73,111	73,319	73,251
2012	5700	China	-25,453	-24,708	-28,122	-26,384	-24,882	-26,072	-26,494	-25,358	-26,079	-26,152	-27,425	-27,974	-78,283	-77,338	-77,931	-81,552	34,310	33,794	37,254	35,548	34,546	35,257	35,683	34,595	35,611	35,479	36,623	36,919	105,358	105,351	105,890	109,020	8,857	9,087	9,132	9,164	9,664	9,186	9,189	9,238	9,532	9,326	9,198	8,944	27,075	28,013	27,959	27,469
2012	4279	France	-1,423	-655	-799	-799	-655	-811	-868	-927	-978	-985	-965	-969	-2,877	-2,265	-2,773	-2,919	3,759	3,390	3,470	3,269	3,458	3,477	3,530	3,492	3,532	3,324	3,523	3,421	10,619	10,205	10,555	10,267	2,336	2,735	2,672	2,471	2,804	2,666	2,663	2,565	2,554	2,338	2,558	2,452	7,742	7,940	7,782	7,349
2012	4280	Germany	-4,890	-4,463	-5,196	-4,483	-4,788	-4,855	-5,109	-5,155	-5,312	-5,044	-5,675	-5,452	-14,549	-14,127	-15,577	-16,171	8,912	8,612	9,374	8,823	8,964	8,904	9,061	9,123	9,424	9,002	9,646	9,380	26,899	26,691	27,608	28,027	4,022	4,150	4,179	4,340	4,175	4,050	3,952	3,967	4,112	3,957	3,971	3,928	12,350	12,565	12,032	11,856
2012	5330	India	-1,540	-1,753	-1,441	-1,127	-1,468	-1,940	-2,161	-1,703	-1,242	-1,014	-1,812	-1,205	-4,735	-4,535	-5,107	-4,031	3,190	3,487	3,176	3,090	3,122	3,474	3,924	3,565	3,479	2,968	3,597	3,440	9,853	9,687	10,968	10,005	1,650	1,734	1,735	1,964	1,654	1,534	1,762	1,862	2,237	1,954	1,785	2,235	5,119	5,151	5,861	5,974
2012	4759	Italy	-1,388	-1,308	-1,740	-1,815	-1,786	-1,834	-1,867	-1,821	-1,824	-1,723	-2,015	-1,747	-4,436	-5,435	-5,512	-5,485	2,983	2,689	3,116	3,184	3,156	3,104	3,280	3,101	3,080	2,935	3,238	3,099	8,788	9,444	9,460	9,273	1,595	1,380	1,377	1,369	1,370	1,269	1,413	1,280	1,256	1,212	1,224	1,352	4,352	4,009	3,948	3,788
2012	5880	Japan	-6,416	-6,974	-6,867	-5,683	-7,262	-6,556	-6,498	-6,369	-5,852	-6,049	-6,098	-5,833	-20,256	-19,501	-18,718	-17,980	12,473	12,498	12,539	12,000	12,788	12,310	12,368	12,416	11,852	11,640	11,720	11,827	37,510	37,099	36,637	35,187	6,057	5,523	5,673	6,317	5,526	5,755	5,871	6,048	6,000	5,592	5,622	5,993	17,253	17,598	17,918	17,207
2012	5800	Korea, South	-1,240	-792	-1,108	-1,629	-1,420	-1,143	-1,456	-1,648	-1,341	-1,410	-1,626	-1,803	-3,139	-4,192	-4,445	-4,840	4,712	4,895	4,808	5,296	4,914	4,732	4,973	4,780	4,926	4,922	4,821	5,121	14,414	14,942	14,679	14,864	3,472	4,103	3,700	3,666	3,494	3,589	3,516	3,132	3,585	3,512	3,195	3,318	11,275	10,750	10,233	10,025
2012	2010	Mexico	-5,549	-6,001	-5,422	-5,637	-5,531	-5,532	-5,243	-4,702	-4,490	-4,512	-4,880	-4,221	-16,971	-16,700	-14,435	-13,613	23,357	23,586	23,578	23,330	23,271	23,235	23,088	22,865	22,889	22,969	23,116	22,309	70,522	69,836	68,842	68,394	17,809	17,586	18,157	17,693	17,740	17,703	17,844	18,164	18,399	18,457	18,236	18,088	53,551	53,136	54,407	54,781
2012	5170	Saudi Arabia	-3,558	-3,025	-3,459	-4,052	-3,978	-2,847	-3,443	-2,822	-2,797	-2,795	-2,715	-2,215	-10,042	-10,877	-9,062	-7,724	5,317	4,547	5,004	5,466	5,184	4,477	5,061	4,243	4,133	4,086	4,390	3,759	14,868	15,127	13,436	12,236	1,758	1,522	1,545	1,414	1,206	1,630	1,617	1,421	1,336	1,292	1,675	1,544	4,826	4,250	4,374	4,511
